title,filename,category,folder,authorship,content_type,description,size_mb,confidence,source_path,dest_path,status
The Stove of Dreams,The Stove of Dreams.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"Cannot determine content or authorship from the provided sample, which appears to be blank pages or a cover without visible text. The title suggests it could be a metaphorical work about aspirations o",6.58,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/The Stove of Dreams.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/The Stove of Dreams.pdf,COPIED
The Struggle Survival Guide,StruggleSurvivalGuide.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,PLR content,"A self-help guide about overcoming obstacles and turning them into opportunities, written in a generic motivational style typical of PLR (Private Label Rights) content.",1.89,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/StruggleSurvivalGuide1/01-Premium/03-Enhanced eBook/StruggleSurvivalGuide.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/StruggleSurvivalGuide.pdf,COPIED
The Voice of Kilmeny,The Voice of Kilmeny.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"Unable to determine the book's content or theme from the title page alone; the title ""The Voice of Kilmeny"" doesn't clearly align with Bob Burr's typical topics of recovery, faith, or entrepreneurship",11.24,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/The Voice of Kilmeny.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/The Voice of Kilmeny.pdf,COPIED
The Windmill on the Plains,The Windmill on the Plains.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to determine content or authorship from blank pages provided in the sample.,21.05,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/The Windmill on the Plains.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/The Windmill on the Plains.pdf,COPIED
These 2 Questions Identify What's Necessary in Your Life,These 2 Questions Identify Whats Necessary in Your Life.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (appears to be a Pages document),Unable to determine without seeing the actual content,0.77,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Elimination/03-Branding/01-Articles/03-pages/These 2 Questions Identify Whats Necessary in Your Life.pages,,DUPLICATE_SKIPPED
Thrive Mod 04 - Action Guide,Thrive Mod 04 - Action Guide.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,PLR content or purchased content,"This appears to be part of a modular self-help or personal development program focused on taking action and achieving goals. The ""Mod 04"" designation and generic filename structure suggest it's part o",0.6,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Thrive/01-Sellable Assets/01-CourseBundle/04-Module 4/03-ActionGuide/ Thrive Mod 04 - Action Guide.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Thrive Mod 04 - Action Guide.docx,COPIED
Thrive Module 03 - Module Quiz,Thrive Mod 03 - Module Quiz.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,educational module/course material,"This appears to be a quiz or assessment component from Module 3 of a course or program called ""Thrive,"" likely related to personal development or recovery.",0.64,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Thrive/01-Sellable Assets/01-CourseBundle/03-Module 3/04-Module Quiz/ Thrive Mod 03 - Module Quiz.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Thrive Mod 03 - Module Quiz.docx,COPIED
Thrive Module 04 - Module Quiz,Thrive Mod 04 - Module Quiz.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other (educational module/quiz),"This appears to be a quiz or assessment document that is part of a larger ""Thrive"" educational program or course, specifically for Module 4.",0.6,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Thrive/01-Sellable Assets/01-CourseBundle/04-Module 4/04-Module Quiz/ Thrive Mod 04 - Module Quiz.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Thrive Mod 04 - Module Quiz.docx,COPIED
To Identify the Essential Think Priority and Not Priorities,To Identify the Essential Think Priority and Not Priorities.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content. Title suggests content about prioritization and focusing on essentials.,0.8,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Elimination/03-Branding/01-Articles/03-pages/To Identify the Essential Think Priority and Not Priorities.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/To Identify the Essential Think Priority and Not Priorities.pages,COPIED
Top 5 Methods We Use to Sabotage Self Care,Top 5 Methods We Use to Sabotage Self Care .pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,article,"Appears to be an article or short guide about self-care obstacles, which could align with Bob Burr's recovery and faith-based writing focus.",0.81,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/YourOwnWorstEnemy/03-Branding/01-Articles/03-pages/Top 5 Methods We Use to Sabotage Self Care .pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Top 5 Methods We Use to Sabotage Self Care .pages,COPIED
Travel Pass,Travel Pass - 10-7-21.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (appears to be a document/book but cannot determine type without seeing content),"A document titled ""Travel Pass"" dated October 7, 2021; unable to determine content or authorship from the limited sample provided.",1.13,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/Travel Pass - 10-7-21.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Travel Pass - 10-7-21.pdf,COPIED
Trust Again,Trust Again.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A book that likely explores themes of rebuilding trust, possibly in the context of recovery, faith, or personal transformation, which aligns with Bob Burr's known writing topics.",0.76,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/TrustAgain/01-Premium/01-Ebook/Trust Again.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Trust Again.pages,COPIED
Trust Again,Trust Again.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (appears to be a book based on filename format),Cannot determine without viewing the actual content of the document,0.76,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/TrustAgain/01-Premium/01-Ebook/Trust Again.pages,,DUPLICATE_SKIPPED
Tune Out,Tune Out.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze content without access to the document text.,1.64,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/TuneOut/01-Premium/01-eBook/Tune Out.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Tune Out.pages,COPIED
Turn Worrying into Problem-Solving to Remove Mental Clutter,Turn Worrying into Problem-Solving to Remove Mental Clutter.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without viewing actual content,0.77,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/BUNDLEDeclutterYourMind/02-Articles/2-Pages/Turn Worrying into Problem-Solving to Remove Mental Clutter.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Turn Worrying into Problem-Solving to Remove Mental Clutter.pages,COPIED
Turning Obstacles into Opportunities,TurningObstaclesintoOpportunities.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without seeing the actual content of the document.,0.8,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/StruggleSurvivalGuide1/03-Branding/01-Articles/03-pages/TurningObstaclesintoOpportunities.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/TurningObstaclesintoOpportunities.pages,COPIED
Unknown,Boney - SECU - 4-29-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine content or authorship from blank pages in the sample provided.,3.11,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Boney - SECU - 4-29-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Boney - SECU - 4-29-20.pdf,COPIED
Unknown,Chris Williamson Diplomas - 12-14-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine content or authorship without access to the actual text from the PDF file.,2.51,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Chris Williamson Diplomas - 12-14-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Chris Williamson Diplomas - 12-14-20.pdf,COPIED
Unknown,Bruce - 6-27-20 (1).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"This appears to be a recovery-focused book or memoir that details someone's journey through addiction and recovery, including experiences with treatment, relapse, and eventual sobriety. The writing st",6.99,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Bruce - 6-27-20 (1).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bruce - 6-27-20 (1).pdf,COPIED
Unknown,GHTM - TREP - Batts - 10-21-20 .pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"This appears to be a Christian faith-based book focused on achieving prosperity through biblical principles, with ""TREP"" possibly being an abbreviation for entrepreneurship and ""GHTM"" potentially stan",22.43,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/GHTM - TREP - Batts - 10-21-20 .pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/GHTM - TREP - Batts - 10-21-20 .pdf,COPIED
Unknown,Dell Vostro Image2.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,PLR content or purchased content,"This appears to be generic self-help or motivational content with very basic formatting and no clear authorship indicators. The writing style and presentation don't match the professional, faith-based",6.47,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Dell Vostro Image2.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Dell Vostro Image2.pdf,COPIED
Unknown,AZ Compliance 5-22-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without actual content from the PDF,1.09,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/AZ Compliance 5-22-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/AZ Compliance 5-22-20.pdf,COPIED
Unknown,final-invoice.doc,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other (appears to be an invoice based on filename),Cannot determine without document content; filename suggests this is an invoice rather than a book or article.,0.11,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Legal Forms Folder/Business/final-invoice.doc,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/final-invoice.doc,COPIED
Unknown,Compass Cover Art.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,Unable to determine from the provided sample - only blank pages were shown in the first 5 pages.,3.79,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Compass Cover Art.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Compass Cover Art.pdf,COPIED
Unknown,grok_report.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other,Unable to analyze content as no readable text was provided in the sample - only blank spaces/lines are visible.,4.76,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/grok_report.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/grok_report.pdf,COPIED
Unknown,OC report.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"This appears to be a recovery-focused book that discusses overcoming challenges and finding second chances, with Christian faith elements woven throughout the narrative.",1.91,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/OC report.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/OC report.pdf,COPIED
Unknown,AvoidanceEnhanced.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without access to document content,2.53,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Avoidance/01-Premium/03-Enhanced eBook/AvoidanceEnhanced.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/AvoidanceEnhanced.docx,COPIED
Unknown,Butterflies.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content,1.6,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Butterflies/01-Premium/03-Enhanced eBook/Butterflies.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Butterflies.docx,COPIED
Unknown,DealingwithSAD.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without access to the actual content,0.79,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Butterflies/03-Branding/01-Articles/03-pages/DealingwithSAD.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DealingwithSAD.pages,COPIED
Unknown,KDP Success Roadmap.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,notes,"This appears to be a personal planning or tracking document for a writing project, containing milestone notes and reminders about continuing to write and edit early chapters. The document seems to be ",7.69,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bonuses-NanaoBanana/KDP-Success-Roadmap-90Day-Workbook-129163778/KDP Success Roadmap.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/KDP Success Roadmap.pdf,COPIED
Unknown,RR-license.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (possibly license document based on filename),Unable to analyze due to PDF reading error. The filename suggests it may be a license-related document rather than a book.,1.06,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Authentic You/Module10-Licenses/RR-license.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/RR-license.pdf,COPIED
Unknown,Final Remarks.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content,1.42,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/YourMotivationMakeover 2/01-Sellable Assets/01-CourseBundle/05-FinalRemarks/01-Course Doc/Final Remarks.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Final Remarks.docx,COPIED
Unknown,Course Introduction.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot analyze without document content,1.28,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/YourMotivationMakeover 2/01-Sellable Assets/01-CourseBundle/00-Introduction/01-Course Doc/Course Introduction.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Course Introduction.docx,COPIED
Unknown,Module One - Course Doc.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without access to the document content,1.6,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/YourMotivationMakeover 2/01-Sellable Assets/01-CourseBundle/01-Module 1/01-Course Doc/Module One - Course Doc.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Module One - Course Doc.docx,COPIED
Unknown,WorkingThroughIt.docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without access to document content,2.38,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/TuneOut/02-LeadGen/01-Lead Gen Report/WorkingThroughIt.docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/WorkingThroughIt.docx,COPIED
Unknown,DistractionsThatDrainYourFocus.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content,0.76,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/TuneOut/03-Branding/01-Articles/03-pages/DistractionsThatDrainYourFocus.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DistractionsThatDrainYourFocus.pages,COPIED
Unknown,Bartholomew R. Scott Intro - 5-13-19 (1) (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine without viewing the actual document content,20.83,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/Downloads/Bartholomew R. Scott Intro - 5-13-19 (1) (2019_07_29 16_12_18 UTC).pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bartholomew R. Scott Intro - 5-13-19 (1) (2019_07_29 16_12_18 UTC).pages,COPIED
Unknown,W_A Overwhelmed (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without document content,0.94,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/com~apple~Pages/W_A Overwhelmed (2019_07_29 16_12_18 UTC).pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/W_A Overwhelmed (2019_07_29 16_12_18 UTC).pages,COPIED
Unknown,Arizona PPD - 4-18-19 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,PLR content/purchased content,"This appears to be PLR (Private Label Rights) or purchased content about personal development, given the ""PPD"" in the filename and the date format suggesting it was downloaded or purchased. Without se",1.94,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Arizona PPD - 4-18-19 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Arizona PPD - 4-18-19 (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown,Bob's D_L 5_9_19 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,"Unable to determine content due to blank/empty pages in the provided sample. The filename suggests it may be Bob's document based on ""Bob's D_L"" but cannot confirm without readable content.",4.99,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's D_L 5_9_19 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Bob's D_L 5_9_19 (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown,DRM Invitiation (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Cannot determine content or authorship without access to the actual text from the PDF file.,1.55,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/DRM Invitiation (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/DRM Invitiation (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown,Second Chance Paperwork (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"This appears to be a book about second chances, redemption, and recovery with strong Christian faith elements, which aligns with Bob Burr's known writing themes and background.",8.09,MEDIUM,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Second Chance Paperwork (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Second Chance Paperwork (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown,Kyle Worledge Intro - 8-11-18 copy (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,other (appears to be an introduction document),Cannot determine content without access to the document text - appears to be an introduction document related to Kyle Worledge from 2018.,20.83,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Kyle Worledge Intro - 8-11-18 copy (2019_07_29 16_12_18 UTC).pages,,DUPLICATE_SKIPPED
Unknown,Dan's R_X Paperwork (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze - the provided sample pages appear to be blank or the text content is not visible in the excerpt.,12.07,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Dan's Paperwork/Dan's R_X Paperwork (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Dan's R_X Paperwork (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown,United Healthcare for Dan  (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze without access to actual document content,1.66,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Dan's Paperwork/United Healthcare for Dan  (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/United Healthcare for Dan  (2019_07_29 16_12_18 UTC).pdf,COPIED
Unknown (file appears incomplete/corrupted in sample),C_C Auth. Dan Burr 3_2019 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book (appears to be PLR or purchased content),"Cannot determine - the provided content sample appears to be blank or corrupted, showing no readable text from the first 5 pages.",1.82,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/C_C Auth. Dan Burr 3_2019 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/C_C Auth. Dan Burr 3_2019 (2019_07_29 16_12_18 UTC).pdf,COPIED
"Unknown (possibly ""Bartholomew R. Scott Intro"" based on filename)",Bartholomew R. Scott Intro - 5-13-19 (2) (2019_07_29 16_12_18 UTC).pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,Unable to analyze - no content visible,20.83,LOW,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/Downloads/Bartholomew R. Scott Intro - 5-13-19 (2) (2019_07_29 16_12_18 UTC).pages,,DUPLICATE_SKIPPED
"Unknown (possibly ""Struggle Survival Guide"")",StruggleSurvivalGuide.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (possibly book),Cannot determine without seeing the actual content,0.81,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/StruggleSurvivalGuide1/01-Premium/01-eBook/StruggleSurvivalGuide.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/StruggleSurvivalGuide.pages,COPIED
"Unknown (possibly ""Trepidation"" or includes this word)",CR-TREP-OJ- 9-30-20 .pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"This appears to be a book manuscript that includes themes of recovery, redemption, and possibly faith-based content, which aligns with Bob Burr's known writing topics. The filename suggests it might b",11.81,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/CR-TREP-OJ- 9-30-20 .pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/CR-TREP-OJ- 9-30-20 .pdf,COPIED
Voices Of Inspiration,Voices Of Inspiration (Revised 9:24).docx,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown (likely book based on revision notation),Cannot determine without seeing actual content,27.55,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Voices Of Inspiration/Voices Of Inspiration (Revised 9:24).docx,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Voices Of Inspiration (Revised 9 -24).docx,COPIED
Wahrheit - Coastal,Wahrheit - Coastal - 7-24-20.pdf,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,Unknown,"Cannot determine content or authorship without actual text from the document. The filename suggests it may be related to ""Wahrheit"" (German for ""truth"") and ""Coastal.""",11.2,LOW,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/ Wahrheit - Coastal - 7-24-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/Wahrheit - Coastal - 7-24-20.pdf,COPIED
What Is A Growth Mindset,What Is A Growth Mindset.pages,Bob's Own Works (Probable),01_Bobs_Own_Works/Probable,BOB_BURR,book,"A book or educational material focused on explaining and developing a growth mindset, likely covering personal development and mindset transformation concepts.",0.75,LOW,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/SHAREABLEDevelopingAGrowthMindset/01-BlogPosts/03-PAGES/What Is A Growth Mindset.pages,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Probable/What Is A Growth Mindset.pages,COPIED
